location_identifier,bounding_polygon,median_all_12m_price_per_m2,count_all_12m,median_6m_ago_price_per_m2,count_6m_ago,median_last_30d_price_per_m2,count_last_30d
10315,0106000020E6100000010000000103000000010000000F00000016026F3777FE2A4094E7B0B101404A40F85A2B35D6FD2A40A5F386A00F404A4078DCA62ECFFD2A401A468B7D13404A4019B8F24872032B40BF36D19D16444A400B4DC8BDAF082B40FF4124438E444A40DE1FEF552B132B407F8F55A588414A4086764EB340132B402A82493B7F414A40803B9A3457132B40486AA16472414A40D49E927362132B40FA1F05F467414A40D15ED8F566132B40A141542B5D414A40335F14F362132B40245C6D6A45414A403D0CAD4ECE102B4048CFE3E60A414A40FB986AC1E6032B40665E58480A404A4009E8740FBF012B40C309F1ED02404A4016026F3777FE2A4094E7B0B101404A40,20,"1734",20,243,17,260
10317,0106000020E61000000100000001030000000100000012000000646314BA01012B40C77CE5E6C03D4A40D9AFE02307FD2A4068B4B002D73D4A40124658F90AEF2A40F52F49658A3F4A40459B8823B4EE2A40B76A8DF7993F4A40BCC0F6DDBEF02A40F10577B17A404A40E11577723CF12A4003BD265AA8404A4078E68AF788F12A403B7881EDBB404A40F7651F1ACCF12A4076DB2A2DC8404A4066E4E25E4FF22A4022C66B5ED5404A40185124A996F22A40F500CC6BDB404A404D62B59EC6022B40F7C77BD5CA414A409AA6199CD2032B40A208A9DBD9414A404399FC0571042B40BB3C4272D7414A40A18735F0FE072B40B69B85E2333E4A400048B76FFF072B40ED026F92303E4A40AA5C4D43F9072B405464BECD2C3E4A40CD8FBFB4A8072B406A076D83243E4A40646314BA01012B40C77CE5E6C03D4A40,20,"1993",17,278,26,327
10318,0106000020E6100000010000000103000000010000000F0000001C7E37DDB20F2B4033349E08E23B4A40F0A07EBCFC032B4075311702CA3C4A40FB4F487C38022B4093E57F4D313D4A40FFDAB05C25022B4013640454383D4A401B58D81D9C012B40F9307BD9763D4A40646314BA01012B40C77CE5E6C03D4A408F554ACFF4022B40F891B64CE13E4A40D63A71395E152B40AB64B61AC83F4A408B5AF51494152B40546DDC07C53F4A402CF52C08E5152B408C7B9862B33F4A40B4A789E365162B406D7594DE923F4A408D316601C9162B40F86981E26C3F4A40F096F5ACB5192B405E59B3DF243E4A4049B48938421B2B405B69087D9F3C4A401C7E37DDB20F2B4033349E08E23B4A40,17,"1154",15.5,194,16,145
10319,0106000020E6100000010000000103000000010000000F000000BFE3CA8FAE042B409219B9B8D73E4A409248916BF9032B40FCF785FCD83E4A402FDA88CC01032B407C48F8DEDF3E4A40617AB1E6B6FF2A40FB438E08213F4A40F16F86D162FF2A40BAA5304A2B3F4A4081A90B1DE0FE2A40A5AFD63F3E3F4A405479F1344FFC2A4037C478CDAB3F4A4027E0320285FD2A4011EFEF2202404A40F85A2B35D6FD2A40A5F386A00F404A407A77BF65A9102B405445A79D50414A40E206D7378B122B400F35C0BB4B414A40D63A71395E152B40AB64B61AC83F4A407F1D9320B7062B40152F6013E33E4A4093342493F8052B4019D7AEBFDB3E4A40BFE3CA8FAE042B409219B9B8D73E4A40,11,"1001",12,130,12,155
10365,0106000020E6100000010000000103000000010000001200000017D7F84CF6F72A40DB83B5D6BC404A40445F8B27CCF12A40D75130BEC3404A40F7651F1ACCF12A4076DB2A2DC8404A40C2ACAB5D6EF32A400C795FF0C4414A408126C286A7F32A406635B808E7414A40740179C086F92A40383F0FFFFA434A4077F4BF5C8BFA2A40637D03931B444A40CF9552E119FE2A40D77734C467444A4034CD85DBEB022B4074A213F879444A400B4DC8BDAF082B40FF4124438E444A404BC8AC8328082B40B4869C082C444A40D3BD4EEACB062B404640852348434A408C2D043928052B40D7C45D1844424A404399FC0571042B40BB3C4272D7414A40951348E416FA2A400B372A81DE404A40523C783760F92A4031A6AA1ACE404A40749DA1139DF82A405032DEFBC0404A4017D7F84CF6F72A40DB83B5D6BC404A40,13,"1082",12,155,14,132
10367,0106000020E6100000010000000103000000010000000C0000003E8FF6E406F82A403CF14174AD414A402AFF5A5EB9F62A400B4DC8BDAF414A40B965D185A2F62A409ABFF858B0414A401FAF5120FDF42A40C138B874CC414A4097CA36CBC0F42A40AD8D0CCDD0414A408126C286A7F32A406635B808E7414A40EE3B2B0E0CF12A40A654D33FD2424A40E8F527F1B9F32A4044C93F8E41444A4098E2056C62F82A4010CEA78E55444A40CF9552E119FE2A40D77734C467444A40A4E36A6457FE2A40140BD7FE29444A403E8FF6E406F82A403CF14174AD414A40,13,671,16.5,98,14.5,86
10369,0106000020E61000000100000001030000000100000010000000EE3B2B0E0CF12A40A654D33FD2424A4007C1994EA1ED2A40C4FEFC080D434A4038C0273163ED2A409D103AE812434A408134AD5E8FEB2A409E00D41E40434A405C936E4BE4EA2A4071CEE38B51434A407892191472EA2A40E325EE6767434A409E899FB591E92A40B5A09C0D9E434A4017D86322A5E92A401EA10B8FA2434A405066CDD94CEF2A4074F85A86EE444A4094AE4FEF98F02A404F7974232C454A40E8F527F1B9F32A4044C93F8E41444A409C33A2B437F42A402C836A8313444A407F98CE9893F52A40C8E8256B79434A409CAE8273A1F52A406CDBE67C67434A4054CAC6DEE6F42A40E1F14817F6424A40EE3B2B0E0CF12A40A654D33FD2424A40,12,512,13,83,11,74
10405,0106000020E6100000010000000103000000010000000E00000005C5EAEAE9D62A402A05381845434A40060DA25AE9D22A404D1F7013A4434A407D0CB155DDD22A40A2A87D84AB434A40867C2B6DCCD22A40D6D86F37D2434A4086387B0CFBD22A407D4FF6E0FF434A40B191DA7A3CD32A405A97BFE72C444A405441A08E22DA2A40756D14FEB1454A40D6766E3546DA2A402A2D6D82B9454A40A231491BFDDA2A40B7FB0BF3D4454A4023B836F9D2E02A4027A25F5B3F454A40F83A04E9BDE42A4051DCF126BF444A40F3203D450EE52A4098C7F54AB4444A409A44BDE0D3E42A40850BD4BDA9444A4005C5EAEAE9D62A402A05381845434A40,18,"2402",17,395,19,311
10407,0106000020E6100000010000000103000000010000000B0000002AC423F1F2E42A40E66BE05861434A40EEA0C84917D92A405695229E91434A40DE770C8FFDD82A40B583B64192434A40EEF19DF3AEDD2A4018AD48F196444A402AB9D4528ADF2A40A35126DAFA444A4097E0794E1FEA2A4081C6962F79454A40AF0D709C6FEF2A40D5F89683EA444A40B5ABEBAB06F02A409783EA3070444A40833FB26FDDEB2A40FC7502F5C1434A409E899FB591E92A40B5A09C0D9E434A402AC423F1F2E42A40E66BE05861434A40,17,"1512",14,230,17,179
10409,0106000020E61000000100000001030000000100000011000000F3203D450EE52A4098C7F54AB4444A4068D608B3BFDA2A4084B7AC67AD454A40C8E8256B79DA2A40FDD41D30B4454A40C265BA7C90DA2A40120BC6D2D1454A40C183B064D8DA2A4027E60FBC10464A4037F28AF1ABDB2A401DB1715875464A40FB16E7B9CFDB2A4029BE90C481464A40DAED693D32DC2A40F0B215EA9F464A401B44108C28DE2A403FAC376A85464A40FF9E0E1AB0E22A40EE9B56653A464A400093AF5F0BE52A4052B3ACA00E464A40AB0BD352D4E82A407FB04280C2454A4097E0794E1FEA2A4081C6962F79454A406F7319EDA7E92A40BD7960B653454A40E28F47156AE62A4014C149E4CC444A40F72B5382B4E52A408018D7AEBF444A40F3203D450EE52A4098C7F54AB4444A40,14,"1599",13,272,17,155
